name,aliases
Pfizer,Pfizer Inc|Pfizer Inc.|Pfizer Pharmaceuticals
Merck,Merck Sharp & Dohme|MSD|Merck & Co|Merck & Co.
Johnson & Johnson,Janssen|Janssen Pharmaceuticals|Johnson and Johnson|J&J
Novartis,Novartis Pharmaceuticals|Novartis Pharma
Roche,F. Hoffmann-La Roche|Genentech|Hoffmann-La Roche
AstraZeneca,Astra Zeneca|AstraZeneca AB
GlaxoSmithKline,GSK|Glaxo SmithKline
Sanofi,Sanofi-Aventis|Sanofi Pasteur
AbbVie,AbbVie Inc.
Bristol-Myers Squibb,BMS|Bristol Myers Squibb|Bristol-Myers Squibb Company
Eli Lilly,Lilly|Eli Lilly and Company
Amgen,Amgen Inc.
Gilead,Gilead Sciences|Gilead Sciences Inc.
Biogen,Biogen Inc.
Regeneron,Regeneron Pharmaceuticals
Vertex,Vertex Pharmaceuticals
Bayer,Bayer AG|Bayer HealthCare
Takeda,Takeda Pharmaceutical
Boehringer Ingelheim,Boehringer Ingelheim Pharmaceuticals
Novo Nordisk,Novo Nordisk A/S
Astellas,Astellas Pharma
Eisai,Eisai Inc.
UCB,UCB Pharma
Ipsen,Ipsen Biopharmaceuticals
