# Universe: US-listed clinical-stage biotech, market cap < $5B focus. Post-triage: 131 companies (5 removed). ctgov_sponsor_aliases = pipe-separated CT.gov search names.
ticker,name,exchange,market_cap_bucket,primary_indication,ctgov_sponsor_aliases,notes
ADCT,ADC Therapeutics SA,NYSE,small,Oncology,ADC Therapeutics|ADC Therapeutics AG,ADC solid tumors
ADAP,Adaptimmune Therapeutics,NASDAQ,small,Oncology,Adaptimmune Limited|Adaptimmune LLC|Adaptimmune,T-cell therapy
AKBA,Akebia Therapeutics,NASDAQ,small,Oncology,,Renal anemia/oncology
ALLO,Allogene Therapeutics,NASDAQ,small,Oncology,,Allogeneic CAR-T
ALPN,Alpine Immune Sciences,NASDAQ,mid,Oncology,,Immuno-oncology proteins
ANAB,AnaptysBio,NASDAQ,small,Autoimmune/Oncology,"AnaptysBio, Inc.|AnaptysBio Inc",Inflammation IO
ARVN,Arvinas,NASDAQ,mid,Oncology,,PROTAC degraders
BCYC,Bicycle Therapeutics,NASDAQ,small,Oncology,,Bicycle peptides
BHVN,Biohaven,NYSE,mid,Oncology/Neuro,,KRAS/other programs
BLTE,Belite Bio,NASDAQ,small,Oncology,"Belite Bio, Inc.|Belite Bio Inc",VERIFY
BMEA,Biomea Fusion,NASDAQ,small,Oncology,,Covalent inhibitors
CGEM,Cullinan Therapeutics,NASDAQ,small,Oncology,,Oncology pipeline
CGON,CG Oncology,NASDAQ,small,Oncology,"CG Oncology, Inc.|CG Oncology Inc",Bladder cancer
CLDX,Celldex Therapeutics,NASDAQ,small,Oncology,,Antibody therapeutics
CTMX,CytomX Therapeutics,NASDAQ,small,Oncology,,Probody therapeutics
DAWN,Day One Biopharmaceuticals,NASDAQ,small,Oncology,,Pediatric oncology
DNLI,Denali Therapeutics,NASDAQ,mid,Neuro/Oncology,,Neurodegeneration
ERAS,Erasca,NASDAQ,small,Oncology,,RAS pathway
FULC,Fulcrum Therapeutics,NASDAQ,small,Oncology/Rare,,Gene regulation
GRTX,Galera Therapeutics,NASDAQ,micro,Oncology,,Radiotherapy adjunct
IOVA,Iovance Biotherapeutics,NASDAQ,mid,Oncology,,TIL therapy
KURA,Kura Oncology,NASDAQ,small,Oncology,,Precision oncology
MGNX,MacroGenics,NASDAQ,small,Oncology,,Bispecific antibodies
MIST,Milestone Pharmaceuticals,NASDAQ,small,Cardiology,,VERIFY
NKTR,Nektar Therapeutics,NASDAQ,small,Oncology,,IO payloads
OCUL,Ocular Therapeutix,NASDAQ,small,Ophthalmology,,Ocular delivery
ORIC,ORIC Pharmaceuticals,NASDAQ,small,Oncology,,Resistance mechanisms
RCKT,Rocket Pharmaceuticals,NASDAQ,small,Rare/Oncology,,Gene therapy
RLAY,Relay Therapeutics,NASDAQ,mid,Oncology,,Computational chemistry
SLS,SELLAS Life Sciences,NASDAQ,micro,Oncology,,WT1 vaccine
TVTX,Travere Therapeutics,NASDAQ,small,Rare/Oncology,,Rare kidney
BDTX,Black Diamond Therapeutics,NASDAQ,small,Oncology,,Master key kinase
CRBU,Caribou Biosciences,NASDAQ,small,Oncology,,CRISPR cell therapy
EWTX,Edgewise Therapeutics,NASDAQ,small,Rare,,Muscle disorders
HRTX,Heron Therapeutics,NASDAQ,small,Oncology,,CINV/pain
IDYA,IDEAYA Biosciences,NASDAQ,small,Oncology,,Synthetic lethality
IMNM,Immunome,NASDAQ,small,Oncology,"Immunome, Inc.|Immunome Inc",Antibody discovery
INAB,IN8bio,NASDAQ,micro,Oncology,,Gamma-delta T cells
KPTI,Karyopharm Therapeutics,NASDAQ,small,Oncology,,XPO1 inhibitor
MRSN,Mersana Therapeutics,NASDAQ,small,Oncology,,ADC platform
ACAD,ACADIA Pharmaceuticals,NASDAQ,mid,Neuroscience,,Parkinsons psychosis
ANNX,Annexon,NASDAQ,small,Neuroscience,"Annexon, Inc.|Annexon Biosciences, Inc.",Complement C1q
AVXL,Anavex Life Sciences,NASDAQ,small,Neuroscience,,Alzheimers
CERE,Cerevel Therapeutics,NASDAQ,mid,Neuroscience,,VERIFY acquired AbbVie
ETNB,89bio,NASDAQ,small,Metabolic,"89bio, Inc.|89Bio, Inc.|89bio Inc",NASH
FOLD,Amicus Therapeutics,NASDAQ,mid,Rare,,Lysosomal storage
LBPH,Longboard Pharmaceuticals,NASDAQ,small,Neuroscience,,Neurodevelopmental
PRAX,Praxis Precision Medicines,NASDAQ,small,Neuroscience,,CNS disorders
PTCT,PTC Therapeutics,NASDAQ,mid,Rare/Neuro,,DMD/rare
QURE,uniQure,NASDAQ,small,Neuro/Rare,,Gene therapy
RARE,Ultragenyx Pharmaceutical,NASDAQ,mid,Rare,,Rare genetic
SAGE,Sage Therapeutics,NASDAQ,small,Neuroscience,,Depression/neuro
SUPN,Supernus Pharmaceuticals,NASDAQ,mid,Neuroscience,,CNS commercial
TARS,Tarsus Pharmaceuticals,NASDAQ,small,Ophthalmology,,Demodex blepharitis
VYGR,Voyager Therapeutics,NASDAQ,small,Neuroscience,,AAV gene therapy
XENE,Xenon Pharmaceuticals,NASDAQ,mid,Neuroscience,,Ion channels
ABOS,Acumen Pharmaceuticals,NASDAQ,small,Neuroscience,,Alzheimers
ALKS,Alkermes,NASDAQ,mid,Neuroscience,"Alkermes, Inc.|Alkermes Inc|Alkermes plc",CNS/addiction
AVTX,Avalo Therapeutics,NASDAQ,micro,Autoimmune,,VERIFY
BCAB,BioAtla,NASDAQ,small,Oncology,"BioAtla, Inc.|BioAtla Inc",Conditionally active biologics
DNTH,Dianthus Therapeutics,NASDAQ,small,Autoimmune,,VERIFY
PRTA,Prothena,NASDAQ,small,Neuroscience,,Amyloid/neuro
RLMD,Relmada Therapeutics,NASDAQ,small,Neuroscience,,Depression
RGNX,REGENXBIO,NASDAQ,small,Rare/Neuro,,AAV gene therapy
CGTX,Cognition Therapeutics,NASDAQ,micro,Neuroscience,,Alzheimers
AGIO,Agios Pharmaceuticals,NASDAQ,mid,Rare/Oncology,,PK deficiency
ARWR,Arrowhead Pharmaceuticals,NASDAQ,mid,Rare,,RNAi
CRNX,Crinetics Pharmaceuticals,NASDAQ,small,Rare,,Endocrine rare
KRYS,Krystal Biotech,NASDAQ,mid,Rare,,Dermatology gene therapy
RETA,Reata Pharmaceuticals,NASDAQ,mid,Rare,,VERIFY acquired BIIB
SGMO,Sangamo Therapeutics,NASDAQ,small,Rare,,Genomic medicine
SRPT,Sarepta Therapeutics,NASDAQ,mid,Rare,,DMD gene therapy
IMVT,Immunovant,NASDAQ,small,Autoimmune,,Anti-FcRn
INZY,Inozyme Pharma,NASDAQ,small,Rare,,Mineralization disorders
